type,algorithm,n,time_us,char_comparisons
random,std_quicksort,100,4.96,2234
random,std_mergesort,100,39.58,622
random,string_quicksort,100,1.83,820
random,string_mergesort_lcp,100,50.17,521
random,msd_radix,100,19.79,356
random,msd_radix_quick,100,7.71,398
random,std_quicksort,200,8.79,4514
random,std_mergesort,200,104.71,1504
random,string_quicksort,200,3.79,1761
random,string_mergesort_lcp,200,120.83,1178
random,msd_radix,200,39.50,778
random,msd_radix_quick,200,13.96,918
random,std_quicksort,300,16.75,9058
random,std_mergesort,300,171.38,2555
random,string_quicksort,300,8.83,3040
random,string_mergesort_lcp,300,221.50,1945
random,msd_radix,300,69.71,1244
random,msd_radix_quick,300,26.33,1544
random,std_quicksort,400,26.67,9387
random,std_mergesort,400,277.25,3651
random,string_quicksort,400,9.75,4076
random,string_mergesort_lcp,400,283.42,2682
random,msd_radix,400,84.12,1676
random,msd_radix_quick,400,32.75,2206
random,std_quicksort,500,35.42,14137
random,std_mergesort,500,335.08,4856
random,string_quicksort,500,12.96,5083
random,string_mergesort_lcp,500,373.71,3497
random,msd_radix,500,112.54,2096
random,msd_radix_quick,500,41.79,2905
random,std_quicksort,600,39.17,16387
random,std_mergesort,600,419.71,6122
random,string_quicksort,600,23.83,6275
random,string_mergesort_lcp,600,483.96,4349
random,msd_radix,600,119.79,2540
random,msd_radix_quick,600,50.83,3648
random,std_quicksort,700,50.54,20627
random,std_mergesort,700,495.12,7419
random,string_quicksort,700,24.67,7452
random,string_mergesort_lcp,700,527.75,5229
random,msd_radix,700,132.92,3008
random,msd_radix_quick,700,60.17,4411
random,std_quicksort,800,65.00,24593
random,std_mergesort,800,585.46,8777
random,string_quicksort,800,31.96,8669
random,string_mergesort_lcp,800,660.50,6079
random,msd_radix,800,154.29,3470
random,msd_radix_quick,800,71.33,5232
random,std_quicksort,900,76.25,27816
random,std_mergesort,900,683.75,10174
random,string_quicksort,900,37.12,9801
random,string_mergesort_lcp,900,777.54,7006
random,msd_radix,900,187.21,3922
random,msd_radix_quick,900,85.88,6001
random,std_quicksort,1000,85.38,28806
random,std_mergesort,1000,713.12,11543
random,string_quicksort,1000,50.54,11769
random,string_mergesort_lcp,1000,833.75,7882
random,msd_radix,1000,194.96,4352
random,msd_radix_quick,1000,97.96,6814
random,std_quicksort,1100,108.96,35153
random,std_mergesort,1100,816.96,12984
random,string_quicksort,1100,45.54,12546
random,string_mergesort_lcp,1100,902.92,8785
random,msd_radix,1100,216.88,4798
random,msd_radix_quick,1100,107.25,7624
random,std_quicksort,1200,133.46,39377
random,std_mergesort,1200,949.67,14514
random,string_quicksort,1200,53.21,14010
random,string_mergesort_lcp,1200,1004.33,9780
random,msd_radix,1200,251.04,5276
random,msd_radix_quick,1200,114.50,8520
random,std_quicksort,1300,128.12,42002
random,std_mergesort,1300,1073.17,15990
random,string_quicksort,1300,63.12,15584
random,string_mergesort_lcp,1300,1176.62,10700
random,msd_radix,1300,256.12,5734
random,msd_radix_quick,1300,146.46,9375
random,std_quicksort,1400,146.71,45432
random,std_mergesort,1400,1090.75,17523
random,string_quicksort,1400,73.79,17422
random,string_mergesort_lcp,1400,1289.83,11654
random,msd_radix,1400,289.29,6224
random,msd_radix_quick,1400,160.25,10312
random,std_quicksort,1500,153.96,46418
random,std_mergesort,1500,1194.25,19096
